id,title,address,description,lat,lng,category,categories
233,CECOS Toulouse,"330 Avenue de Grande Bretagne, 31300 Toulouse, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone: 05 67 77 10 50 </p>",43.6097818,1.4013127,"53,54,56,57,59,60,61,63,65,64,47,48,49","46,47,48,49,51,53,54,56,57,59,60,61,63,64"
234,CECOS Nord Lille,"Hôpital Albert Calmette, Boulevard du Professeur Jules Leclercq, Lille, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 03 20 44 66 33 </p>",50.6063478,3.0365318,"53,54,55,56,57,58,65,64,47,48,49","46,47,48,49,51,53,54,55,56,57,58,64"
235,CECOS Picardie Amiens,"1 Rue du Professeur Christian Cabrol, Amiens, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 03 22 08 73 70 </p>",49.8766478,2.2558356,"53,54,55,56,57,58,59,60,61,63,65,64,47,48,49","46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64"
236,CECOS Haute-Normandie Rouen,"1 Rue de Germont, Rouen, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 02 32 88 82 25 </p>",49.4401614,1.1074281,"53,54,55,56,57,58,59,60,61,65,64,47,48,49","46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64"
237,CECOS Champagne-Ardenne Reims,"47 Rue Cognacq-Jay, Reims, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 03 26 78 85 84</p>",49.2301198,4.0165364,"54,56,57,58,65,64,47,48,49","46,47,48,49,50,51,54,55,56,57,58,59,60,61,63,64"
238,CECOS Basse-Normandie Caen,"Avenue de la Côte de Nacre, Caen, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 02 31 06 45 06</p>",49.2060496,-0.361692,"53,54,56,57,58,65,64,47,48,49","46,47,48,49,51,53,54,55,56,57,58,64"
239,CECOS Paris Jean Verdier,"Avenue du 14 Juillet, Bondy, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 01 48 02 58 72</p>",48.91332020000001,2.4914291,"55,56,58,65,64,47,48,49","46,47,48,49,51,55,56,58,64"
240,CECOS Paris Tenon,"4 Rue de la Chine, Paris, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 01 56 01 78 01<br />01 56 01 78 02 </p>",48.8658015,2.4011098,"53,55,56,57,58,60,61,63,64,47,48,49","46,47,48,49,51,53,55,56,57,58,59,60,61,63,64"
241,CECOS Paris Cochin,"123 Boulevard de Port-Royal, Paris, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 01 58 41 37 26 </p>",48.83854059999999,2.3372635,"53,54,55,56,58,59,60,61,63,65,64,47,48,49","46,47,48,49,51,53,54,55,56,58,59,60,61,63,64"
242,CECOS Paris Clamart,"157 Rue de la Porte de Trivaux, Clamart, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 01 45 37 49 79 </p>",48.7885168,2.2549009,"55,56,57,64,47,48,49","47,48,49,55,56,57,64"
243,CECOS Lorraine Nancy,"10 Avenue Dr Heydenreich, Nancy, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 03 83 34 43 09</p>",48.6809525,6.190277699999999,"53,55,56,57,65,47,48,49","46,47,48,49,51,53,55,56,57,58,64"
244,CECOS Alsace Strasbourg,"19 Rue Louis Pasteur, Schiltigheim, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 03 69 55 34 23</p>",48.6007015,7.7498385,"53,54,55,56,57,58,60,61,63,65,64,47,48,49","46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64"
245,CECOS Bretagne Site de Brest,"2 Avenue Foch, Brest, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 02 98 22 32 22 </p>",48.3927799,-4.486178,"55,56,57,58,65,64,47,48,49","46,47,48,49,51,55,56,57,58,64"
